ROI_ID,Network
1,default
2,somatomotorHand
3,somatomotorMouth
4,default
5,visual
6,default
7,frontoparietal
8,visual
9,frontoparietal
10,auditory
11,none
12,cinguloparietal
13,retrosplenialTemporal
14,retrosplenialTemporal
15,visual
16,visual
17,visual
18,none
19,none
20,visual
21,cinguloopercular
22,cinguloopercular
23,ventralAttention
24,frontoparietal
25,default
26,default
27,cinguloopercular
28,cinguloopercular
29,salience
30,somatomotorHand
31,somatomotorHand
32,somatomotorHand
33,somatomotorHand
34,cinguloopercular
35,somatomotorHand
36,somatomotorHand
37,somatomotorHand
38,somatomotorHand
39,somatomotorMouth
40,cinguloopercular
41,dorsalAttention
42,dorsalAttention
43,dorsalAttention
44,default
45,somatomotorHand
46,somatomotorHand
47,somatomotorHand
48,somatomotorHand
49,dorsalAttention
50,somatomotorHand
51,dorsalAttention
52,dorsalAttention
53,somatomotorMouth
54,somatomotorHand
55,dorsalAttention
56,somatomotorHand
57,somatomotorHand
58,somatomotorHand
59,somatomotorMouth
60,ventralAttention
61,ventralAttention
62,ventralAttention
63,cinguloopercular
64,auditory
65,auditory
66,auditory
67,auditory
68,auditory
69,auditory
70,auditory
71,cinguloopercular
72,cinguloopercular
73,none
74,dorsalAttention
75,ventralAttention
76,cinguloopercular
77,auditory
78,frontoparietal
79,ventralAttention
80,ventralAttention
81,cinguloopercular
82,cinguloopercular
83,salience
84,cinguloopercular
85,ventralAttention
86,ventralAttention
87,dorsalAttention
88,dorsalAttention
89,cinguloparietal
90,visual
91,dorsalAttention
92,dorsalAttention
93,cinguloparietal
94,default
95,dorsalAttention
96,frontoparietal
97,visual
98,visual
99,visual
100,dorsalAttention
101,cinguloopercular
102,auditory
103,cinguloopercular
104,auditory
105,cinguloopercular
106,dorsalAttention
107,dorsalAttention
108,frontoparietal
109,frontoparietal
110,dorsalAttention
111,cinguloopercular
112,cinguloopercular
113,dorsalAttention
114,default
115,none
116,default
117,default
118,none
119,none
120,none
121,none
122,none
123,none
124,none
125,none
126,default
127,default
128,none
129,none
130,retrosplenialTemporal
131,visual
132,visual
133,none
134,none
135,none
136,visual
137,visual
138,visual
139,visual
140,visual
141,visual
142,none
143,retrosplenialTemporal
144,none
145,default
146,default
147,cinguloopercular
148,frontoparietal
149,frontoparietal
150,default
151,default
152,default
153,cinguloopercular
154,default
155,dorsalAttention
156,default
157,default
158,ventralAttention
159,none
160,auditory
161,ventralAttention
162,default
163,somatomotorHand
164,somatomotorMouth
165,default
166,visual
167,frontoparietal
168,frontoparietal
169,visual
170,frontoparietal
171,auditory
172,none
173,cinguloparietal
174,retrosplenialTemporal
175,visual
176,visual
177,visual
178,none
179,none
180,cinguloopercular
181,cinguloopercular
182,frontoparietal
183,salience
184,default
185,cinguloopercular
186,default
187,cinguloopercular
188,cinguloopercular
189,dorsalAttention
190,somatomotorHand
191,somatomotorHand
192,cinguloopercular
193,somatomotorHand
194,somatomotorHand
195,somatomotorHand
196,cinguloopercular
197,somatomotorMouth
198,cinguloopercular
199,dorsalAttention
200,default
201,somatomotorHand
202,somatomotorHand
203,dorsalAttention
204,somatomotorHand
205,somatomotorHand
206,somatomotorHand
207,somatomotorHand
208,dorsalAttention
209,somatomotorHand
210,somatomotorHand
211,dorsalAttention
212,somatomotorMouth
213,somatomotorHand
214,somatomotorHand
215,somatomotorHand
216,somatomotorHand
217,somatomotorHand
218,somatomotorMouth
219,cinguloopercular
220,default
221,ventralAttention
222,ventralAttention
223,cinguloopercular
224,auditory
225,default
226,ventralAttention
227,auditory
228,ventralAttention
229,ventralAttention
230,auditory
231,ventralAttention
232,auditory
233,auditory
234,cinguloopercular
235,cinguloopercular
236,dorsalAttention
237,ventralAttention
238,cinguloopercular
239,auditory
240,frontoparietal
241,ventralAttention
242,ventralAttention
243,ventralAttention
244,auditory
245,cinguloopercular
246,cinguloopercular
247,salience
248,cinguloopercular
249,cinguloopercular
250,dorsalAttention
251,visual
252,dorsalAttention
253,dorsalAttention
254,cinguloparietal
255,visual
256,visual
257,default
258,visual
259,default
260,frontoparietal
261,frontoparietal
262,dorsalAttention
263,visual
264,visual
265,visual
266,dorsalAttention
267,visual
268,auditory
269,auditory
270,somatomotorHand
271,dorsalAttention
272,frontoparietal
273,frontoparietal
274,cinguloopercular
275,dorsalAttention
276,frontoparietal
277,frontoparietal
278,default
279,default
280,none
281,none
282,none
283,none
284,none
285,none
286,none
287,none
288,none
289,none
290,default
291,none
292,none
293,visual
294,retrosplenialTemporal
295,retrosplenialTemporal
296,none
297,none
298,visual
299,visual
300,none
301,none
302,none
303,none
304,none
305,none
306,none
307,visual
308,visual
309,visual
310,visual
311,visual
312,none
313,retrosplenialTemporal
314,none
315,default
316,default
317,cinguloopercular
318,cinguloopercular
319,frontoparietal
320,frontoparietal
321,default
322,default
323,default
324,default
325,default
326,default
327,frontoparietal
328,frontoparietal
329,auditory
330,auditory
331,default
332,ventralAttention
333,ventralAttention
